1,sepal_length,sepal_width,petal_length,petal_width,species
2,5.1,3.5,1.4,0.2,setosa
3,4.9,3,1.4,0.2,setosa
4,4.7,3.2,1.3,0.2,setosa
5,4.6,3.1,1.5,0.2,setosa
6,5,3.6,1.4,0.2,setosa
7,5.4,3.9,1.7,0.4,setosa
8,4.6,3.4,1.4,0.3,setosa
9,5,3.4,1.5,0.2,setosa
10,4.4,2.9,1.4,0.2,setosa
11,4.9,3.1,1.5,0.1,setosa
12,5.4,3.7,1.5,0.2,setosa
13,4.8,3.4,1.6,0.2,setosa
14,4.8,3,1.4,0.1,setosa
15,4.3,3,1.1,0.1,setosa
16,5.8,4,1.2,0.2,setosa
17,5.7,4.4,1.5,0.4,setosa
18,5.4,3.9,1.3,0.4,setosa
19,5.1,3.5,1.4,0.3,setosa
20,5.7,3.8,1.7,0.3,setosa
21,5.1,3.8,1.5,0.3,setosa
22,5.4,3.4,1.7,0.2,setosa
23,5.1,3.7,1.5,0.4,setosa
24,4.6,3.6,1,0.2,setosa
25,5.1,3.3,1.7,0.5,setosa
26,4.8,3.4,1.9,0.2,setosa
27,5,3,1.6,0.2,setosa
28,5,3.4,1.6,0.4,setosa
29,5.2,3.5,1.5,0.2,setosa
30,5.2,3.4,1.4,0.2,setosa
31,4.7,3.2,1.6,0.2,setosa
32,4.8,3.1,1.6,0.2,setosa
33,5.4,3.4,1.5,0.4,setosa
34,5.2,4.1,1.5,0.1,setosa
35,5.5,4.2,1.4,0.2,setosa
36,4.9,3.1,1.5,0.1,setosa
37,5,3.2,1.2,0.2,setosa
38,5.5,3.5,1.3,0.2,setosa
39,4.9,3.1,1.5,0.1,setosa
40,4.4,3,1.3,0.2,setosa
41,5.1,3.4,1.5,0.2,setosa
42,5,3.5,1.3,0.3,setosa
43,4.5,2.3,1.3,0.3,setosa
44,4.4,3.2,1.3,0.2,setosa
45,5,3.5,1.6,0.6,setosa
46,5.1,3.8,1.9,0.4,setosa
47,4.8,3,1.4,0.3,setosa
